duration,src_bytes,dst_bytes,count,srv_count
0.100000,0.100000,0.100000,0.100053,0.100005
0.100000,0.100002,0.100000,0.100000,0.100005
0.100000,0.100000,0.100000,0.100036,0.100005
0.100000,0.100063,0.100096,0.100005,0.100005
0.100000,0.100000,0.100000,0.100002,0.100002
0.100000,0.100040,0.100000,0.100000,0.100000
0.100000,0.100075,0.101238,0.100001,0.100001
0.100000,0.101215,0.100000,0.100006,0.100006
0.100000,0.100061,0.100186,0.100003,0.100003
0.100000,0.110085,0.110812,0.100000,0.100000
0.100000,0.100051,0.100523,0.100002,0.100002
0.100000,0.100079,0.101004,0.100001,0.100001
0.100000,0.100000,0.100000,0.100034,0.100002
0.100000,0.100064,0.100231,0.100010,0.100010
0.100000,0.100000,0.100000,0.100054,0.100004
0.100000,0.100007,0.100000,0.100009,0.100009
0.100000,0.100049,0.103921,0.100002,0.100002
0.100000,0.100061,0.108462,0.100000,0.100000
0.100000,0.100012,0.100041,0.100055,0.100076
0.100000,0.100000,0.100000,0.100025,0.100003
0.100000,0.100012,0.100029,0.100001,0.100000
0.100000,0.100002,0.100000,0.100000,0.100001
0.100000,0.100000,0.100000,0.100035,0.100006
0.100000,0.100000,0.100000,0.100096,0.100000
0.100000,0.100139,0.100000,0.100119,0.100119
0.100000,0.100056,0.100070,0.100005,0.100005
0.100496,0.100086,0.100282,0.100000,0.100000
0.100000,0.100276,0.100000,0.100137,0.100137
0.100000,0.100002,0.100000,0.100000,0.100000
0.100000,0.100007,0.100000,0.100013,0.100013
0.100000,0.100005,0.100000,0.100000,0.100000
0.100000,0.100000,0.100000,0.100034,0.100001
0.100000,0.100000,0.100000,0.100023,0.100000
0.100000,0.100092,0.100606,0.100001,0.100001
0.100023,0.100536,0.100089,0.100000,0.100001
0.100000,0.100082,0.100941,0.100002,0.100002
0.100000,0.100012,0.100019,0.100046,0.100046
0.100000,0.100000,0.100000,0.100039,0.100004
0.100000,0.100012,0.100036,0.100061,0.100082
0.100000,0.100000,0.100000,0.100039,0.100005
0.100000,0.100000,0.100000,0.100044,0.100001
0.405565,0.100827,0.102436,0.100000,0.100000
0.100000,0.100082,0.100671,0.100002,0.100002
0.100000,0.100062,0.100514,0.100007,0.100008
0.990000,0.100000,0.100000,0.100001,0.100001
0.100000,0.104249,0.100000,0.100005,0.100005
0.100000,0.100089,0.100000,0.100001,0.100001
0.100000,0.100000,0.100000,0.100030,0.100004
0.100000,0.100017,0.100000,0.100000,0.100000
0.100000,0.100059,0.109394,0.100001,0.100002
0.100000,0.100000,0.100000,0.100000,0.100000
0.100000,0.100000,0.100000,0.100075,0.100007
0.100000,0.100000,0.100000,0.100065,0.100003
0.100000,0.100012,0.100038,0.100020,0.100041
0.100000,0.100450,0.100088,0.100000,0.100000
0.100000,0.100450,0.100088,0.100000,0.100000
0.100000,0.100002,0.100000,0.100000,0.100004
0.100000,0.100000,0.100000,0.100039,0.100004
0.100000,0.100059,0.100397,0.100001,0.100001
0.100000,0.100000,0.100000,0.100034,0.100005
0.100000,0.101477,0.100126,0.100000,0.100000
0.100000,0.100059,0.100396,0.100003,0.100003
0.100000,0.100000,0.100000,0.100038,0.100005
0.100000,0.101215,0.100000,0.100006,0.100000
0.100000,0.100000,0.100000,0.100000,0.100000
0.100000,0.100000,0.100000,0.100037,0.100005
0.100000,0.100073,0.100257,0.100006,0.100008
0.100000,0.100000,0.100000,0.100010,0.100004
0.100000,0.100012,0.100012,0.100039,0.100061
0.100000,0.100059,0.101037,0.100004,0.100009
0.100721,0.100041,0.100067,0.100000,0.100000
0.100000,0.100086,0.100101,0.100002,0.100002
0.100000,0.100000,0.100000,0.100055,0.100006
0.100000,0.100000,0.100000,0.100036,0.100005
0.100023,0.100514,0.100097,0.100000,0.100001
0.100000,0.100000,0.100000,0.100033,0.100005
0.100000,0.100000,0.100000,0.100058,0.100003
0.100000,0.100005,0.100000,0.100000,0.100000
0.100000,0.100062,0.100175,0.100011,0.100011
0.100000,0.100058,0.100083,0.100002,0.100002
0.100000,0.100057,0.100567,0.100003,0.100003
0.100000,0.100054,0.101792,0.100002,0.100002
0.100000,0.100082,0.100941,0.100002,0.100002
0.100000,0.100458,0.100088,0.100000,0.100001
0.100000,0.100064,0.100231,0.100010,0.100010
0.100000,0.100000,0.100000,0.100064,0.100002
0.100000,0.100002,0.100000,0.100000,0.100001
0.100000,0.100081,0.100079,0.100000,0.100000
0.100000,0.100056,0.100000,0.100001,0.100001
0.100000,0.100000,0.100000,0.100131,0.100000
0.100000,0.100000,0.100000,0.100047,0.100001
0.100000,0.100139,0.100000,0.100119,0.100119
0.100000,0.100058,0.100099,0.100018,0.100018
0.100000,0.100000,0.100000,0.100003,0.100003
0.944742,0.100000,0.100000,0.100001,0.100001
0.100000,0.100000,0.100000,0.100072,0.100006
0.100000,0.100095,0.100097,0.100001,0.100001
0.100000,0.100276,0.100000,0.100060,0.100060
0.100000,0.100000,0.100000,0.100027,0.100004
0.100000,0.100000,0.100000,0.100048,0.100001
0.100000,0.100000,0.100000,0.100032,0.100003
0.100000,0.100000,0.100000,0.100071,0.100004
0.100023,0.100634,0.100098,0.100000,0.100001
0.100000,0.100056,0.100205,0.100000,0.100000
0.100000,0.100000,0.100000,0.100000,0.100001
0.100000,0.100090,0.100208,0.100003,0.100003
0.100000,0.100070,0.100083,0.100004,0.100005
0.100000,0.100009,0.100035,0.100000,0.100000
0.100000,0.100092,0.100577,0.100004,0.100004
0.100000,0.100000,0.100000,0.100072,0.100001
0.100000,0.100028,0.100039,0.100000,0.100000
0.100000,0.100059,0.100396,0.100003,0.100003
0.100000,0.100063,0.101794,0.100001,0.100001
0.100000,0.100005,0.100000,0.100000,0.100000
0.100000,0.100000,0.100000,0.100043,0.100001
0.100000,0.100000,0.100000,0.100075,0.100005
0.100000,0.100000,0.100000,0.100032,0.100002
0.100000,0.100000,0.100000,0.100039,0.100005
0.100000,0.100000,0.100000,0.100096,0.100000
0.100000,0.100000,0.100000,0.100003,0.100003
0.100000,0.100276,0.100000,0.100137,0.100137
0.100000,0.100000,0.100000,0.100055,0.100001
0.100000,0.100000,0.100000,0.100070,0.100005
0.100000,0.100000,0.100000,0.100043,0.100001
0.100000,0.100002,0.100000,0.100000,0.100001
0.100000,0.100000,0.100000,0.100070,0.100005
0.100000,0.100000,0.100000,0.100003,0.100002
0.100000,0.100000,0.100000,0.100079,0.100002
0.100000,0.100000,0.100000,0.100062,0.100001
0.100000,0.100000,0.100000,0.100033,0.100005
0.100000,0.100000,0.100000,0.100029,0.100002
0.100000,0.100000,0.100000,0.100057,0.100001
0.100000,0.100000,0.100000,0.100045,0.100006
